time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3800000000000008,-0.3180467313952402,0.2129060140579993,12.071755788034425,0.06771627546211079,0.10303582105456055,0.0,-0.7550698371785431,0.48636477417718527,2.967659028170849,0.03244789471653077,0.06708592789806955,0.0,452.7012023058753,455.92156221954696,453.4619004382549,453.9072467304969
1.4000000000000008,-0.33336832941927774,0.2227764601630493,12.131263098297861,0.06886082000664295,0.10439079955785147,0.0,-0.777089965225212,0.5006798363278161,2.9830719981728486,0.027995539608494685,0.06781421205497036,0.0,429.96581972890345,430.15441312782093,430.7198022394441,429.5890979671482
1.4200000000000008,-0.34918838393235546,0.23297177869249416,12.191603005067659,0.06992257911148947,0.10626250272118565,0.0,-0.8049154860825639,0.5188520166166704,3.0509186788068963,0.03247593384416814,0.063273644151128,0.0,478.1651973598163,477.12947206953334,479.09539290392735,480.1164107766172
1.4400000000000008,-0.3655501468985832,0.24352029999026656,12.253113795337073,0.07139596025781536,0.10771434077131747,0.0,-0.8312608105402073,0.5360001131605688,3.1001603481346085,0.03821653475153796,0.06054333158946463,0.0,462.53790653843475,461.89512126366543,462.121932812441,463.4778178440027
1.4600000000000009,-0.3823856620777893,0.25437787793230615,12.31508487073717,0.07217000265459639,0.10989911240893413,0.0,-0.852290707380404,0.5497576810433927,3.0969471918749187,0.03883980681895171,0.05430184136411766,0.0,413.7628112622227,412.1139044129591,412.2084856549524,412.3745258673322
1.4800000000000009,-0.3996682105937744,0.2655265059476293,12.37719128668113,0.07319733894367886,0.11264181968836695,0.0,-0.8759641442181061,0.565105120488921,3.1136944025210918,0.04200549886148122,0.04616139800481482,0.0,433.0170985093867,430.9598044984394,432.6047475889031,433.40450568839907
1.5000000000000009,-0.41743326977590856,0.27698621253563044,12.439659416441943,0.07470244653697122,0.11375642776489414,0.0,-0.9005417739953102,0.5808655383111972,3.1331185735601337,0.03684798932271189,0.048928202055923055,0.0,434.49487627892177,435.1915282757929,436.40079740240617,435.10833052946555
1.520000000000001,-0.43567538759818203,0.288753223378659,12.502367210089817,0.07550975059629383,0.11473829215909781,0.0,-0.923670008232036,0.5958355459916542,3.1376607912273053,0.03852541917660811,0.04856486457723761,0.0,420.94627303098974,420.85356100871206,420.69877492709975,421.13500249691214
1.540000000000001,-0.45445550007502333,0.30086922006861816,12.565800241383887,0.0775383672268104,0.11586848575683373,0.0,-0.9543412394520944,0.6157641230042629,3.2056423381795547,0.0314314548491419,0.04604378301416816,0.0,480.67082274667706,480.0985652450314,480.6514711452392,479.0364722188512
1.560000000000001,-0.4738130932292382,0.31336311574082326,12.63025778768577,0.07824262200548304,0.12116276415721305,0.0,-0.9814180759693911,0.6336254442162447,3.2401122920087637,0.029692194297181018,0.05927012451905304,0.0,448.6446018557489,451.856074691376,450.6795064318392,450.257896638545
1.580000000000001,-0.4937703679374106,0.3262451537210747,12.695778758991473,0.08089471848614238,0.12529748759819181,0.0,-1.0143093948478488,0.6545783538088964,3.311984838561631,0.02061860053348178,0.04840859433109634,0.0,485.118113769234,482.6673045537686,485.88871244627,483.84384558715186
1.600000000000001,-0.5143446858501581,0.3395198985309736,12.762324164023251,0.08169711150640246,0.12626651340227468,0.0,-1.0431223964268979,0.6728961271809931,3.342555664616235,0.024568390449870657,0.04859340964006671,0.0,447.2871800290123,447.33375308142166,447.7463714952848,448.7093661224498
1.620000000000001,-0.5354200493044351,0.35311290585162936,12.828871816694702,0.08234974801673989,0.12724023416887142,0.0,-1.0644139490007987,0.6864046048845802,3.3122096025289514,0.027108222738351714,0.04886562821364467,0.0,386.88279663982865,386.9615226900443,386.000875238907,386.7194962438044
1.640000000000001,-0.5570010065720135,0.36702726447766393,12.895420066064046,0.08306451497796097,0.12833383303296753,0.0,-1.0936817777570356,0.7050312577188776,3.34261533440548,0.024480657276146237,0.0510223507254462,0.0,447.3081606962036,447.83622734724537,448.27414447474195,447.6332792643532
1.660000000000001,-0.5792046457872722,0.38133801890230723,12.962844080691925,0.08382249897247451,0.1307396148465827,0.0,-1.126682143768839,0.7260441847454515,3.3997861283822437,0.02120425162976651,0.05846636791808079,0.0,471.7905933242942,473.513238375912,472.73931289185515,471.98134248228536
1.680000000000001,-0.601991298715945,0.3960178505920239,13.03077996493767,0.0848305230800177,0.13237287389726315,0.0,-1.1519831490984542,0.7419389842262161,3.393802296192398,0.026037217902968007,0.06277418264166724,0.0,411.7586629345358,412.90310999825255,412.97142660956274,414.2484639792091
1.700000000000001,-0.6253771363628714,0.4110746315987948,13.099268535062004,0.08659581346460499,0.13364569143068916,0.0,-1.1866006155941795,0.7637391164508786,3.4550547162409457,0.03309284268473621,0.06360686218609796,0.0,475.80828785402895,476.00206453592153,476.6377763736091,478.2528373929079
1.720000000000001,-0.6494032514370794,0.42653617983185926,13.168570107737711,0.08837790797813483,0.13493369921533738,0.0,-1.2160108918266241,0.7824157068555643,3.4751025513297846,0.026398852365547634,0.06281010523630697,0.0,438.6987727648998,438.5032509809406,440.82470772132774,439.16248567744
1.740000000000001,-0.6740454367850736,0.4423912429262226,13.238454837389817,0.08895590248258856,0.13638427326670666,0.0,-1.2482076429727849,0.8030906025807744,3.513370413880783,0.02498439194344179,0.06559845203427492,0.0,456.8026461372751,457.4719759585591,456.39931168705635,456.06061847915663
1.7600000000000011,-0.6993425333920228,0.4586658554339155,13.309158196681375,0.08954168751229918,0.140828206452694,0.0,-1.2815020177221348,0.8243706481885182,3.5569655152751163,0.02312862050448313,0.07679124283067945,0.0,460.67281304641745,463.3234629477836,462.0675509804998,461.62850090395284
1.7800000000000011,-0.7253273195197416,0.47537423379637994,13.38080938863994,0.09022144517123198,0.14249644121643001,0.0,-1.3169765950497476,0.8464671880579214,3.6081536805813363,0.02607606175983172,0.07909263290732967,0.0,469.0685738511387,469.6087763219843,468.91189624018614,469.59834311475953
1.8000000000000012,-0.7520534840660975,0.49254343201499234,13.453675162426968,0.09346428710529242,0.14644886112812383,0.0,-1.3556398595858408,0.8704526338033156,3.678423698121471,0.015642805894351908,0.08883032720022585,0.0,486.06636648874775,488.25522855207583,487.1880687066582,484.8421304167497
1.8200000000000012,-0.7794972176362388,0.5101588244999925,13.527496107825552,0.09483328024136384,0.1496761044356516,0.0,-1.388733497428296,0.8910866146967004,3.7036708417367787,0.00914315354000338,0.08121288205497362,0.0,447.1854717969784,445.32650405595774,447.75985539237837,446.1705244947734
1.8400000000000012,-0.8076446703249682,0.5282114604258983,13.602048742518246,0.09502023039743257,0.1516660260912479,0.0,-1.42601177144465,0.9141769778938751,3.7515926275326024,0.008738822721566878,0.08503735072132024,0.0,467.13129701754326,468.03015364705107,468.33291904891576,468.2384310913308
1.8600000000000012,-0.8365603734917274,0.5467371561670691,13.677673965270118,0.09646421103362801,0.15352386509342786,0.0,-1.4655585452312616,0.9383925962231976,3.8109296476547643,0.015864001124286084,0.08754407757324242,0.0,477.54351788197806,478.1222214555383,478.5265996392169,480.1509697505988
1.8800000000000012,-0.8661123698544827,0.5656513914166762,13.753458368947195,0.09729026916339567,0.1552823144746549,0.0,-1.4896410910442734,0.9530309287375122,3.7675107200528046,0.011352779084607509,0.08699388379785798,0.0,377.6820599460597,377.5306516671095,378.5494639027038,377.2446978161933
1.9000000000000012,-0.8962198904758338,0.5849035858037595,13.828825217662963,0.09753352650486491,0.1625477021121684,0.0,-1.521110971090841,0.9721885099708125,3.769174151524116,0.012157807277337729,0.10186063860387612,0.0,423.1760903007941,427.0049418783621,424.855477960094,425.06239531395215
1.9200000000000013,-0.9270166555513102,0.6045660501037483,13.904498510916978,0.09879661588547961,0.1658038907033399,0.0,-1.5585655364567939,0.9940579200280806,3.7981551738775177,0.01854508599387356,0.09487787176230382,0.0,452.4526879663101,450.771697300926,451.1266136018092,452.67120241954234
1.9400000000000013,-0.9585729899619228,0.6246702951285296,13.980767548086916,0.09940207242747334,0.16832637646847903,0.0,-1.5970679046044594,1.0163665824500412,3.828748543116387,0.021608122540286046,0.08987815845095033,0.0,453.97532834625855,452.7775782323475,453.66048376717515,454.3977160553458
1.9600000000000013,-0.990881519066122,0.6452080063972419,14.05750808685237,0.10013123591494999,0.1715135373499832,0.0,-1.6337850058154644,1.0374045444211897,3.8453053334288185,0.025054866143577145,0.08242269679526493,0.0,442.18208463857064,440.34237062821325,439.93568728982694,440.7911126178544
1.9800000000000013,-1.023938843295824,0.6661721286699256,14.134621368188432,0.10092304720198442,0.17316235654319811,0.0,-1.6719474171547273,1.0590076828471902,3.8660228001773986,0.02164479890574673,0.08254356983764202,0.0,444.51468681337604,444.54992066265856,446.16507915809217,445.3290897987829
2.0000000000000013,-1.0578523245380385,0.687621183739539,14.21265490745662,0.10141930275631506,0.17644830991598504,0.0,-1.7194007070667128,1.0858978241141404,3.9373311266415505,0.020052824330371713,0.07445634045785118,0.0,492.02247021343635,490.2276991354246,491.6418097749252,491.2877609167371
2.0200000000000014,-1.0926207567482107,0.7095505463010483,14.291537524955864,0.10192365202120612,0.17815354287967633,0.0,-1.757442513950516,1.1070384320367956,3.950930623282645,0.022085485426409382,0.07151623056511418,0.0,440.157489178427,439.43125893517634,438.7843712027755,439.29034378344494
2.0400000000000014,-1.128167543115052,0.731911329921819,14.37076692857372,0.10238837165742609,0.1813904267607498,0.0,-1.7972361227336064,1.1290399300402731,3.9720097385030937,0.02112611213739031,0.06301550290268061,0.0,447.57481140172354,445.49815415464303,447.28431616960296,447.0498541183387
2.0600000000000014,-1.164555607067548,0.7547341628387083,14.450623404120398,0.10697242695514397,0.1830056984494286,0.0,-1.8415702725160026,1.1532433616486695,4.013637816164693,0.008224123058228878,0.0667835879899643,0.0,465.96532744550365,466.85094295312786,467.8468415905041,464.8231299696685
2.0800000000000014,-1.2017778704071922,0.7780192212950033,14.531006448716745,0.10788375915772264,0.18435845470505985,0.0,-1.8806560614484058,1.1752624839808319,4.02466664347006,0.013689833410648975,0.06595692008005027,0.0,436.9235771413992,436.7201583703677,438.9173325516332,440.27608719740414
2.1000000000000014,-1.2397991581641772,0.8017545793575876,14.611685029912818,0.1094559257811536,0.18587164499311903,0.0,-1.9214727142500854,1.1982733222775939,4.043191476137193,0.02089641361270767,0.0687429702336403,0.0,445.32655444939826,446.0129873736979,444.8161102946095,446.5831401625583
2.1200000000000014,-1.278648986234505,0.8259583868759883,14.692778820162111,0.11036994099366293,0.18728465258604743,0.0,-1.9635100927826912,1.2221074295624776,4.066187548791995,0.016441811766278885,0.06997825462608903,0.0,450.923780621933,451.2265731449249,450.0256491463536,448.9425054920853
