episode,x,y,z,total_reward,rotor
299,0.0,0.0,157.43802105135498,-14340.942344742993,[898.6195516174229]
300,0.0,0.0,157.4550491431758,-14350.901766990293,[898.9407548587743]
301,0.0,0.0,157.38142466890298,-14336.79574462471,[902.8648192960184]
302,0.0,0.0,157.49300495300886,-14351.97379379467,[897.6186551315573]
303,0.0,0.0,157.4670789153897,-14351.45663171655,[900.2917936230352]
304,0.0,0.0,157.56789245608294,-14359.978997158398,[900.4125986377152]
305,0.0,0.0,157.44853259584147,-14347.23665193552,[895.5142674151388]
306,0.0,0.0,157.40190099231273,-14342.086166206538,[898.9975823483048]
307,0.0,0.0,157.47877265845946,-14355.833846506775,[895.7923722626442]
308,0.0,0.0,157.4788518867666,-14346.164581655945,[900.3726553856426]
309,0.0,0.0,157.5318553398061,-14353.00640973048,[902.6132729672787]
310,0.0,0.0,157.60151449843536,-14369.857174967394,[900.6651888701044]
311,0.0,0.0,157.37192027419502,-14343.260432330215,[899.1219228211044]
312,0.0,0.0,157.34621348852795,-14330.40392088018,[903.8442199677768]
313,0.0,0.0,157.45343431179552,-14345.925297880309,[899.8696847390556]
314,0.0,0.0,157.4404615995734,-14351.102887274365,[898.5175111175939]
315,0.0,0.0,157.52543650995284,-14362.110105612197,[899.1562877728248]
316,0.0,0.0,157.455161365499,-14343.183862535649,[899.5287783782875]
317,0.0,0.0,157.38492531902483,-14335.747514230157,[901.452442397323]
318,0.0,0.0,157.37538937694262,-14334.332348736238,[902.7663399712302]
319,0.0,0.0,157.3878477723366,-14338.715866280125,[898.2847963328779]
320,0.0,0.0,157.52176376709815,-14348.231538823275,[895.8983319844186]
321,0.0,0.0,157.4426037772384,-14347.32120288814,[900.3488711277921]
322,0.0,0.0,157.44448852887223,-14340.937455296329,[900.5944194281938]
323,0.0,0.0,157.510687840058,-14350.878759074038,[903.7496692427192]
324,0.0,0.0,157.49484350259536,-14348.347737825126,[897.8724018668906]
325,0.0,0.0,157.4755163716362,-14361.357887739394,[898.7020176204569]
326,0.0,0.0,157.41114836432752,-14345.947961751175,[900.7009445815103]
327,0.0,0.0,157.5388125951585,-14358.45886002168,[902.2901736637468]
328,0.0,0.0,157.43277209959044,-14342.382282549737,[901.9505885068428]
329,0.0,0.0,157.57293921715436,-14363.38440859767,[899.94216870423]
330,0.0,0.0,157.35794945935478,-14340.078327915842,[900.3205529072334]
331,0.0,0.0,157.53091529890239,-14367.000498535444,[899.0896483982499]
332,0.0,0.0,157.3854249791654,-14344.471124739981,[898.5609997521407]
333,0.0,0.0,157.3965957972971,-14342.336961606661,[899.2301685624349]
334,0.0,0.0,157.57732428934932,-14362.93166011207,[897.7059246147456]
335,0.0,0.0,157.2735003818093,-14329.060763031988,[901.9529967170075]
336,0.0,0.0,157.49415081697435,-14350.83655738258,[899.1009757368723]
337,0.0,0.0,157.50274071586745,-14353.257503963641,[898.7003069980924]
338,0.0,0.0,157.41298728006154,-14337.616139061322,[903.3500049714007]
339,0.0,0.0,157.60781254605328,-14368.540195197906,[900.8440418777718]
340,0.0,0.0,157.507343882434,-14348.661540752886,[900.3461848863567]
341,0.0,0.0,157.57255343272905,-14364.38667170107,[898.9432370226003]
342,0.0,0.0,157.51711892504824,-14351.03299733753,[899.2689454401163]
343,0.0,0.0,157.56242133181593,-14357.76059746496,[900.1075911982151]
344,0.0,0.0,157.5109178483167,-14357.909534306309,[901.8268231311843]
345,0.0,0.0,157.38731173065514,-14339.763544231182,[899.0464358240513]
346,0.0,0.0,157.48707307742077,-14354.383412051244,[901.0987418070763]
347,0.0,0.0,157.48558566558535,-14359.731192847275,[900.1520722349305]
348,0.0,0.0,157.39650106872432,-14341.312743708755,[900.7393232180358]
349,0.0,0.0,157.4475762297582,-14346.896939763388,[899.1546390603127]
350,0.0,0.0,157.4024554682717,-14337.40617490113,[900.9739613259584]
351,0.0,0.0,157.40393810379265,-14342.828022779413,[899.8015075732355]
352,0.0,0.0,157.4148942002346,-14343.557559945579,[898.1626192847118]
353,0.0,0.0,157.54494512011715,-14355.025609923985,[898.6561110898]
354,0.0,0.0,157.46965128308918,-14355.742557264739,[901.8366004544905]
355,0.0,0.0,157.5631950081349,-14364.495201347776,[900.0666260693682]
356,0.0,0.0,157.50621108819024,-14356.117230364456,[899.0980307776648]
357,0.0,0.0,157.48045158484453,-14348.87201775017,[899.8466415551617]
358,0.0,0.0,157.4595383837695,-14345.647571962714,[899.0068040725197]
359,0.0,0.0,157.54997675309718,-14362.129605048785,[898.7194335562249]
360,0.0,0.0,157.39065025059944,-14332.771484105873,[901.434102451091]
361,0.0,0.0,157.36983658669973,-14334.878243087023,[900.9553670052884]
362,0.0,0.0,157.4770048533229,-14357.076877767895,[896.7916457161504]
363,0.0,0.0,157.32132818201606,-14325.646202729762,[900.7788595208045]
364,0.0,0.0,157.42821220858278,-14340.440249742323,[897.553787151523]
365,0.0,0.0,157.55067623930074,-14361.91982810011,[900.382205616271]
366,0.0,0.0,157.33069593720924,-14335.015935511901,[896.3074941222542]
367,0.0,0.0,157.44019217679718,-14348.263625089714,[900.5685538284686]
368,0.0,0.0,157.49473085869192,-14357.097953583592,[904.0604287401782]
369,0.0,0.0,157.5761785662327,-14369.938244103689,[901.7016236336846]
370,0.0,0.0,157.41829070499506,-14340.463373778832,[898.2034422373799]
371,0.0,0.0,157.52415480079114,-14348.814937693089,[899.3004896332029]
372,0.0,0.0,157.39888554684882,-14348.407722370413,[901.4025846249585]
373,0.0,0.0,157.50844479671875,-14350.320826674604,[899.8554738118889]
374,0.0,0.0,157.52105614603767,-14359.106040046147,[899.628572161579]
375,0.0,0.0,157.4029748781384,-14339.198471128359,[901.3040126761528]
376,0.0,0.0,157.55039888703007,-14358.137658607457,[900.7473727395119]
377,0.0,0.0,157.44135101691776,-14349.411642841746,[897.7309467967268]
378,0.0,0.0,157.42395800460227,-14348.618547959646,[903.1950715192072]
